age,poverty_level,Residence,region,access_to_reproductive_health_care,education_level,teenage_pregnancy
17,Low,Traditional,Kericho,Moderate,None,0
13,Medium,Rural,Kericho,Moderate,Secondary,1
17,Low,Urban,Kericho,Moderate,Primary,0
17,Medium,Urban,Wajir,Good,Higher,0
13,High,Urban,Garissa,Good,Higher,0
13,Low,Rural,Garissa,Poor,None,0
13,Medium,Rural,Kitui,Moderate,Secondary,0
13,Medium,Rural,Isiolo,Good,Secondary,0
16,Medium,Rural,Kakamega,Moderate,Secondary,0
15,Medium,Rural,Kisumu,Poor,Secondary,0
15,Low,Traditional,Mandera,Moderate,None,0
13,Low,Traditional,Nakuru,Good,None,0
15,Low,Traditional,Machakos,Moderate,None,0
15,Medium,Traditional,Nakuru,Poor,None,1
13,High,Urban,Mombasa,Poor,Secondary,0
15,Medium,Urban,Thika,Good,None,0
17,High,Traditional,Thika,Moderate,None,1
14,Low,Rural,Kisumu,Good,Primary,1
14,Medium,Traditional,Garissa,Good,Primary,0
13,Medium,Traditional,Mandera,Good,None,0
16,Low,Urban,Kericho,Good,Primary,0
13,Medium,Rural,Garissa,Good,Primary,0
16,High,Urban,Kiambu,Good,Primary,0
14,High,Rural,Kiambu,Moderate,Primary,0
13,High,Urban,Nairobi,Good,Higher,1
18,Medium,Traditional,Thika,Good,Secondary,0
17,Medium,Rural,Isiolo,Moderate,Primary,0
15,High,Urban,Nairobi,Poor,Secondary,1
16,Medium,Traditional,Machakos,Moderate,Secondary,0
18,High,Urban,Isiolo,Moderate,Primary,0
15,Low,Urban,Kisumu,Poor,Secondary,0
15,High,Urban,Mombasa,Moderate,Higher,0
13,Low,Traditional,Nyeri,Poor,Secondary,0
15,Low,Rural,Kitui,Good,Secondary,0
17,Low,Urban,Mombasa,Moderate,Secondary,0
18,High,Traditional,Nakuru,Poor,Primary,1
15,High,Urban,Nakuru,Good,Primary,1
13,Medium,Rural,Kericho,Poor,Higher,0
17,Medium,Urban,Kisumu,Poor,Secondary,0
14,Low,Traditional,Kitui,Poor,Primary,0
18,High,Urban,Nakuru,Moderate,None,0
15,Medium,Urban,Nakuru,Good,None,1
13,Medium,Rural,Mandera,Poor,Primary,1
14,Medium,Rural,Narok,Good,None,1
14,High,Rural,Narok,Poor,Higher,1
16,Medium,Urban,Kiambu,Poor,Primary,0
17,Low,Traditional,Kitui,Moderate,Secondary,0
15,High,Urban,Kakamega,Good,Higher,1
13,Medium,Urban,Thika,Poor,Primary,0
16,Medium,Urban,Wajir,Poor,Higher,0
17,High,Urban,Meru,Good,Secondary,0
16,Medium,Rural,Narok,Poor,None,1
18,Medium,Rural,Mombasa,Moderate,Secondary,0
17,Low,Rural,Narok,Moderate,Secondary,1
17,High,Rural,Narok,Moderate,None,0
15,Medium,Traditional,Kitui,Poor,Higher,0
17,High,Urban,Nyeri,Moderate,Primary,0
16,High,Urban,Nyeri,Poor,Primary,0
17,Low,Urban,Mandera,Moderate,Higher,0
15,Low,Traditional,Meru,Good,Primary,1
15,High,Traditional,Kiambu,Moderate,Primary,0
18,Low,Rural,Isiolo,Good,Secondary,0
16,Low,Urban,Kakamega,Moderate,Secondary,0
14,Medium,Urban,Wajir,Poor,Higher,0
14,Low,Traditional,Eldoret,Good,None,1
17,Low,Urban,Kisumu,Good,None,0
18,Medium,Traditional,Nyeri,Poor,Secondary,1
13,Medium,Rural,Isiolo,Good,None,1
17,High,Traditional,Eldoret,Good,Primary,0
18,Low,Urban,Eldoret,Poor,Secondary,0
16,Medium,Traditional,Kisumu,Good,None,1
16,Low,Traditional,Meru,Good,None,0
16,High,Rural,Wajir,Poor,Primary,0
16,Low,Urban,Nyeri,Good,Secondary,1
16,Low,Urban,Kitui,Poor,None,0
18,Low,Rural,Wajir,Good,None,0
18,Medium,Traditional,Nyeri,Poor,None,0
15,Medium,Traditional,Nyeri,Moderate,Higher,1
14,High,Urban,Mombasa,Good,Primary,0
16,Low,Traditional,Garissa,Good,Higher,0
13,High,Rural,Kitui,Moderate,None,0
18,High,Urban,Nairobi,Moderate,Secondary,1
13,Medium,Traditional,Nairobi,Poor,Primary,0
13,Low,Rural,Machakos,Good,Secondary,0
13,Low,Rural,Kericho,Good,Primary,0
15,High,Urban,Kisumu,Poor,Higher,0
18,Low,Urban,Garissa,Moderate,Higher,0
13,Medium,Traditional,Nyeri,Good,None,1
16,High,Traditional,Isiolo,Moderate,Higher,0
17,High,Traditional,Thika,Poor,Higher,0
13,Medium,Rural,Eldoret,Good,Secondary,0
15,Medium,Rural,Machakos,Poor,None,1
18,Medium,Traditional,Kakamega,Poor,Secondary,1
15,Medium,Urban,Isiolo,Good,Higher,0
13,Medium,Rural,Nyeri,Moderate,Higher,0
18,Medium,Rural,Kericho,Moderate,None,0
17,High,Traditional,Kericho,Poor,None,1
13,Low,Urban,Thika,Poor,Secondary,0
15,Low,Rural,Nyeri,Moderate,Higher,0
14,High,Urban,Isiolo,Poor,Primary,1
16,Low,Rural,Isiolo,Poor,Secondary,1
15,Low,Urban,Isiolo,Good,Primary,0
18,High,Urban,Eldoret,Poor,Secondary,0
13,Low,Rural,Nyeri,Poor,Higher,0
16,Low,Urban,Nakuru,Good,Higher,1
13,High,Rural,Meru,Moderate,Secondary,1
18,Low,Rural,Kiambu,Good,Secondary,0
13,Medium,Urban,Meru,Moderate,Primary,0
14,High,Rural,Isiolo,Good,Higher,0
16,Low,Urban,Nairobi,Poor,None,0
16,Low,Rural,Nakuru,Moderate,Primary,0
18,Medium,Urban,Kisumu,Good,None,0
14,High,Rural,Nairobi,Good,None,0
15,High,Rural,Wajir,Moderate,Secondary,0
13,Low,Traditional,Kiambu,Moderate,Secondary,1
17,Medium,Rural,Machakos,Moderate,None,0
13,Medium,Rural,Wajir,Moderate,Primary,0
13,Medium,Urban,Garissa,Good,Secondary,0
15,Medium,Urban,Isiolo,Moderate,Higher,0
13,Medium,Urban,Meru,Moderate,None,1
14,Medium,Urban,Kakamega,Moderate,Secondary,0
14,High,Traditional,Kisumu,Poor,Primary,1
16,Low,Traditional,Nairobi,Moderate,Secondary,0
18,Low,Urban,Machakos,Poor,None,0
17,Medium,Urban,Wajir,Moderate,None,0
13,High,Urban,Garissa,Moderate,Secondary,1
13,High,Urban,Kakamega,Good,Higher,0
15,Medium,Rural,Garissa,Good,Higher,1
18,Low,Urban,Kakamega,Good,Primary,0
14,Medium,Rural,Nakuru,Good,Higher,0
17,High,Urban,Eldoret,Moderate,Primary,1
16,Medium,Traditional,Eldoret,Poor,Higher,1
14,Low,Traditional,Kericho,Moderate,Higher,0
18,Low,Urban,Wajir,Moderate,None,0
16,High,Traditional,Kisumu,Moderate,Secondary,1
15,Medium,Traditional,Kisumu,Good,None,1
15,Medium,Traditional,Kisumu,Moderate,Primary,1
13,High,Traditional,Eldoret,Moderate,Higher,0
18,Medium,Rural,Meru,Poor,Secondary,0
17,High,Rural,Isiolo,Good,Primary,0
16,Medium,Rural,Isiolo,Poor,None,0
14,Low,Rural,Nyeri,Poor,Higher,0
18,High,Urban,Kericho,Moderate,Higher,0
18,Medium,Traditional,Kisumu,Poor,Secondary,0
15,Medium,Traditional,Nakuru,Poor,Primary,1
13,Medium,Urban,Kakamega,Moderate,Secondary,1
13,High,Urban,Nakuru,Good,Secondary,0
16,Low,Rural,Meru,Moderate,Primary,0
15,Medium,Rural,Mandera,Good,None,1
18,High,Traditional,Kericho,Poor,Primary,1
17,Medium,Urban,Machakos,Good,Primary,0
15,Low,Traditional,Nakuru,Moderate,Secondary,0
16,Low,Urban,Narok,Good,Secondary,0
16,Low,Rural,Kitui,Moderate,Primary,0
15,High,Traditional,Nairobi,Moderate,Primary,1
16,Medium,Traditional,Isiolo,Moderate,None,1
15,High,Urban,Nairobi,Good,Higher,1
14,Medium,Traditional,Kisumu,Poor,Secondary,0
15,High,Rural,Kericho,Poor,Primary,1
15,Medium,Traditional,Narok,Poor,None,1
16,High,Urban,Mombasa,Good,Secondary,1
16,Medium,Traditional,Nakuru,Good,Higher,0
13,High,Rural,Thika,Good,None,0
13,Low,Urban,Kitui,Good,Higher,0
14,High,Urban,Mandera,Moderate,Primary,0
13,Low,Rural,Kiambu,Moderate,Secondary,0
15,Low,Urban,Narok,Poor,None,1
16,Medium,Urban,Wajir,Good,Primary,0
13,Low,Traditional,Garissa,Poor,None,1
13,Low,Urban,Mombasa,Moderate,None,1
14,Medium,Traditional,Nyeri,Good,Primary,1
18,High,Rural,Thika,Poor,Secondary,1
14,High,Rural,Nyeri,Good,Primary,0
15,Low,Rural,Eldoret,Poor,Secondary,0
16,High,Rural,Kitui,Good,None,0
14,Low,Urban,Nyeri,Poor,None,1
13,High,Urban,Kakamega,Good,Primary,0
16,High,Traditional,Kericho,Poor,None,0
16,High,Traditional,Machakos,Moderate,None,1
13,Low,Traditional,Thika,Poor,Higher,0
14,Medium,Urban,Kericho,Poor,Higher,1
13,High,Traditional,Kisumu,Moderate,Higher,1
18,High,Urban,Nairobi,Moderate,Secondary,1
16,High,Rural,Eldoret,Poor,Higher,1
17,Low,Urban,Narok,Good,Primary,0
17,Medium,Rural,Wajir,Moderate,Higher,0
15,Low,Traditional,Kitui,Good,Secondary,0
13,High,Urban,Meru,Moderate,Higher,1
13,Low,Traditional,Isiolo,Poor,Primary,0
15,High,Traditional,Mandera,Poor,Higher,0
15,High,Rural,Isiolo,Moderate,Higher,1
15,Low,Traditional,Kiambu,Poor,None,1
16,High,Urban,Kitui,Good,Higher,0
18,High,Traditional,Kisumu,Poor,Higher,1
13,Medium,Rural,Kakamega,Poor,None,1
16,Low,Rural,Kakamega,Poor,Higher,1
15,Low,Traditional,Thika,Moderate,Primary,1
13,High,Rural,Kisumu,Moderate,Primary,1
16,High,Traditional,Kiambu,Poor,Higher,1
18,Low,Rural,Nyeri,Moderate,Primary,0
16,Low,Traditional,Narok,Good,None,0
18,Low,Traditional,Meru,Good,Higher,0
15,High,Urban,Nakuru,Good,Higher,0
18,Medium,Urban,Kiambu,Good,Secondary,0
13,Medium,Traditional,Meru,Poor,None,0
15,High,Urban,Garissa,Moderate,None,1
13,High,Urban,Kisumu,Good,Higher,1
17,High,Rural,Eldoret,Poor,Higher,0
14,Low,Urban,Kiambu,Good,None,0
18,High,Rural,Mandera,Moderate,Primary,0
14,Low,Urban,Kericho,Moderate,None,1
14,Medium,Urban,Meru,Moderate,Secondary,0
18,High,Traditional,Thika,Good,Primary,1
15,High,Urban,Garissa,Good,None,1
17,Low,Traditional,Eldoret,Good,Higher,0
13,Low,Traditional,Mandera,Poor,None,0
16,Low,Traditional,Narok,Poor,Higher,1
13,Medium,Traditional,Nyeri,Moderate,None,1
16,Medium,Urban,Kericho,Moderate,Higher,1
13,High,Traditional,Kakamega,Good,None,1
18,High,Urban,Narok,Moderate,Primary,0
17,Low,Urban,Thika,Moderate,Higher,0
16,Medium,Rural,Nyeri,Poor,Primary,1
15,High,Rural,Garissa,Moderate,Primary,1
13,Low,Rural,Nairobi,Good,Primary,0
13,Low,Traditional,Kiambu,Poor,Primary,1
16,Medium,Urban,Thika,Good,None,0
15,Medium,Urban,Kiambu,Good,Primary,0
15,High,Traditional,Kitui,Poor,Higher,1
18,High,Rural,Kericho,Good,Higher,0
18,Low,Rural,Mombasa,Moderate,None,1
18,Low,Urban,Nakuru,Moderate,Secondary,0
18,Low,Urban,Kitui,Poor,Secondary,1
18,High,Urban,Mandera,Moderate,Higher,0
18,Medium,Rural,Wajir,Good,None,0
17,High,Urban,Kericho,Poor,None,1
15,Medium,Rural,Wajir,Poor,Primary,1
18,High,Rural,Wajir,Good,Primary,1
15,High,Rural,Nyeri,Good,Higher,1
15,Medium,Traditional,Eldoret,Good,Secondary,0
14,High,Traditional,Nyeri,Poor,Secondary,1
17,High,Urban,Narok,Poor,None,1
18,Low,Rural,Isiolo,Good,Secondary,1
13,Medium,Urban,Kiambu,Poor,None,0
16,Medium,Rural,Kericho,Good,None,1
13,Low,Urban,Meru,Moderate,Secondary,1
17,Medium,Urban,Nyeri,Poor,None,0
16,Low,Traditional,Thika,Poor,None,0
17,Medium,Traditional,Isiolo,Poor,None,1
15,Medium,Traditional,Mombasa,Good,Higher,0
16,Medium,Traditional,Kiambu,Poor,None,1
15,Medium,Rural,Kericho,Good,Higher,1
13,Low,Urban,Nakuru,Poor,Primary,0
13,Low,Urban,Meru,Poor,Secondary,1
16,Medium,Rural,Garissa,Poor,Secondary,0
16,High,Rural,Kakamega,Poor,None,0
18,Low,Urban,Nairobi,Moderate,Secondary,0
17,Medium,Traditional,Kitui,Moderate,Secondary,0
18,Low,Traditional,Kiambu,Moderate,Primary,0
17,High,Traditional,Nyeri,Good,Primary,1
18,High,Rural,Kisumu,Moderate,Higher,0
15,High,Urban,Nakuru,Good,Primary,0
16,Medium,Rural,Wajir,Moderate,Primary,0
13,Medium,Urban,Mandera,Good,Primary,1
17,High,Traditional,Nyeri,Poor,None,1
17,Low,Traditional,Eldoret,Poor,Higher,0
13,Low,Traditional,Isiolo,Moderate,Secondary,1
18,High,Urban,Thika,Good,Primary,1
17,Medium,Traditional,Eldoret,Poor,Higher,0
15,Low,Urban,Kericho,Poor,Higher,0
16,Low,Rural,Isiolo,Moderate,Primary,0
13,Low,Traditional,Mombasa,Good,Secondary,0
16,Medium,Rural,Garissa,Poor,None,1
17,High,Rural,Machakos,Good,Higher,0
17,Medium,Urban,Nyeri,Good,Secondary,0
13,Low,Rural,Kericho,Good,Primary,1
15,High,Urban,Kisumu,Good,Higher,1
14,Medium,Urban,Mandera,Good,None,1
13,High,Rural,Machakos,Moderate,Higher,0
14,Low,Urban,Mombasa,Moderate,Higher,0
18,Medium,Urban,Isiolo,Poor,Higher,0
14,High,Urban,Garissa,Good,None,1
15,Medium,Rural,Nairobi,Good,None,1
18,Low,Urban,Thika,Poor,Secondary,0
14,High,Traditional,Nairobi,Good,Secondary,1
18,Low,Rural,Machakos,Poor,Higher,0
14,High,Rural,Mombasa,Moderate,Secondary,0
15,Low,Urban,Garissa,Good,Primary,0
14,Low,Rural,Mombasa,Good,None,1
14,Medium,Traditional,Eldoret,Good,Primary,1
14,Low,Rural,Mombasa,Good,None,0
13,Medium,Rural,Garissa,Good,None,1
13,Low,Rural,Eldoret,Moderate,None,1
13,Low,Urban,Mandera,Good,None,1
15,Low,Traditional,Nyeri,Good,None,0
18,High,Traditional,Nyeri,Poor,None,1
17,Medium,Traditional,Nakuru,Moderate,Higher,0
14,High,Rural,Kitui,Good,None,1
14,Medium,Traditional,Mombasa,Good,Secondary,0
15,Low,Urban,Machakos,Moderate,Higher,1
14,High,Rural,Nakuru,Poor,Secondary,0
13,Medium,Urban,Machakos,Moderate,Primary,0
17,Low,Rural,Garissa,Moderate,None,0
16,Medium,Urban,Garissa,Poor,Primary,1
14,Medium,Rural,Mandera,Moderate,Secondary,0
13,Low,Urban,Mandera,Poor,Higher,0
16,High,Traditional,Thika,Poor,Primary,1
17,Low,Rural,Kitui,Good,Primary,0
16,High,Rural,Kericho,Good,None,1
13,Medium,Urban,Nakuru,Moderate,Primary,1
18,Medium,Urban,Nakuru,Good,Primary,0
18,Medium,Urban,Machakos,Poor,Primary,0
16,High,Rural,Nairobi,Poor,Secondary,0
15,Low,Urban,Mombasa,Moderate,None,1
16,High,Traditional,Narok,Moderate,None,1
14,Medium,Urban,Kakamega,Good,None,1
14,Medium,Urban,Meru,Moderate,Higher,1
18,Low,Urban,Eldoret,Moderate,None,0
15,High,Traditional,Kakamega,Moderate,Secondary,0
13,Medium,Urban,Kitui,Poor,None,0
14,High,Urban,Isiolo,Good,Primary,1
18,High,Rural,Kitui,Poor,Secondary,0
17,Low,Rural,Kakamega,Poor,Primary,0
18,Low,Urban,Mombasa,Moderate,Secondary,0
14,Medium,Rural,Mombasa,Poor,None,0
14,Low,Urban,Machakos,Good,Higher,0
18,High,Urban,Wajir,Good,None,0
13,Low,Traditional,Kiambu,Good,Secondary,0
16,High,Urban,Nairobi,Poor,None,1
14,Medium,Rural,Narok,Poor,Secondary,0
18,High,Rural,Narok,Poor,None,1
18,Low,Rural,Nakuru,Good,Secondary,0
15,Low,Rural,Isiolo,Good,Higher,1
16,Medium,Urban,Kakamega,Good,None,1
17,Low,Traditional,Mandera,Poor,None,0
13,Medium,Traditional,Mombasa,Good,Secondary,0
17,Medium,Urban,Isiolo,Good,Primary,0
16,Low,Rural,Meru,Moderate,None,1
16,High,Traditional,Kiambu,Poor,Higher,0
16,Medium,Traditional,Kitui,Poor,Secondary,0
17,High,Urban,Eldoret,Good,None,1
16,Low,Rural,Mombasa,Moderate,None,0
18,High,Traditional,Wajir,Moderate,Primary,1
17,High,Urban,Nairobi,Good,Higher,0
16,High,Traditional,Machakos,Moderate,Secondary,0
18,High,Traditional,Thika,Good,Primary,0
15,Low,Rural,Nairobi,Poor,None,0
16,Low,Rural,Nakuru,Moderate,Secondary,0
17,High,Traditional,Garissa,Moderate,Primary,1
14,Low,Rural,Narok,Moderate,Higher,0
16,Low,Traditional,Kitui,Good,Higher,1
14,Medium,Traditional,Kakamega,Poor,Higher,1
18,Low,Traditional,Garissa,Moderate,Secondary,0
15,High,Urban,Eldoret,Poor,None,1
13,Low,Rural,Garissa,Poor,None,0
15,Low,Rural,Nairobi,Moderate,Primary,0
16,Low,Traditional,Thika,Poor,None,1
14,Low,Rural,Meru,Good,Higher,1
14,Medium,Traditional,Garissa,Good,Higher,0
17,High,Rural,Thika,Good,Higher,0
14,High,Rural,Machakos,Poor,Secondary,1
17,Low,Traditional,Kakamega,Good,None,1
18,Low,Rural,Mandera,Moderate,Higher,0
13,Medium,Traditional,Mandera,Poor,Primary,0
16,Low,Urban,Nyeri,Good,None,0
17,Medium,Traditional,Narok,Good,Primary,0
13,High,Rural,Kericho,Good,Primary,0
14,High,Urban,Garissa,Good,Higher,1
14,Medium,Urban,Isiolo,Moderate,Higher,0
13,High,Traditional,Nairobi,Good,Higher,1
14,Low,Urban,Garissa,Moderate,Primary,0
18,Low,Traditional,Kakamega,Poor,Primary,0
18,Medium,Rural,Garissa,Moderate,Higher,0
13,High,Traditional,Kakamega,Good,Secondary,1
17,High,Urban,Machakos,Good,Primary,0
17,Medium,Traditional,Kiambu,Poor,Higher,0
13,Medium,Traditional,Narok,Moderate,Higher,1
17,High,Rural,Isiolo,Good,Secondary,0
17,Medium,Traditional,Narok,Moderate,Higher,0
18,Low,Rural,Machakos,Good,Higher,0
17,High,Urban,Kakamega,Poor,Secondary,1
15,Medium,Urban,Kiambu,Moderate,Secondary,1
16,Medium,Traditional,Eldoret,Good,None,1
14,Medium,Traditional,Mombasa,Poor,Primary,1
15,High,Urban,Isiolo,Good,Primary,0
17,Low,Urban,Kiambu,Good,None,0
18,Low,Urban,Machakos,Poor,Primary,1
13,High,Traditional,Wajir,Moderate,None,1
17,Medium,Urban,Kiambu,Moderate,Primary,0
18,High,Traditional,Eldoret,Poor,Higher,0
16,High,Urban,Wajir,Poor,Secondary,0
17,Medium,Urban,Mombasa,Poor,Secondary,0
13,High,Traditional,Narok,Poor,Secondary,1
18,Low,Rural,Kericho,Moderate,Primary,0
18,High,Traditional,Machakos,Poor,Higher,0
18,Medium,Rural,Isiolo,Poor,Secondary,1
16,High,Traditional,Nairobi,Moderate,None,1
17,Low,Rural,Kiambu,Good,Primary,0
16,High,Rural,Kisumu,Good,Primary,0
14,High,Rural,Kiambu,Moderate,Higher,0
14,High,Traditional,Kitui,Moderate,Primary,1
17,High,Traditional,Mombasa,Moderate,Secondary,1
16,Medium,Traditional,Thika,Moderate,Secondary,1
13,Low,Rural,Kisumu,Poor,None,0
18,Low,Rural,Kitui,Poor,None,0
18,Low,Traditional,Isiolo,Moderate,Primary,0
17,High,Traditional,Kisumu,Good,None,1
14,Low,Urban,Kakamega,Good,Primary,0
14,Medium,Urban,Narok,Moderate,Secondary,0
18,High,Urban,Machakos,Moderate,Higher,1
17,High,Urban,Kisumu,Good,Secondary,1
16,Low,Urban,Kakamega,Good,Primary,0
14,High,Traditional,Kitui,Poor,Secondary,0
16,High,Rural,Mandera,Good,Secondary,0
14,Low,Rural,Mandera,Good,Higher,0
14,Medium,Traditional,Nakuru,Good,Secondary,0
15,Medium,Traditional,Kisumu,Good,Primary,0
14,Low,Traditional,Kisumu,Poor,None,1
13,Medium,Urban,Eldoret,Poor,Higher,1
17,Medium,Urban,Mandera,Poor,Primary,1
17,Medium,Urban,Isiolo,Good,Primary,1
16,High,Traditional,Nakuru,Poor,Secondary,1
14,High,Traditional,Machakos,Moderate,Higher,1
13,High,Rural,Kitui,Poor,Higher,0
16,Medium,Traditional,Mombasa,Good,Secondary,0
15,High,Urban,Wajir,Good,None,0
16,Medium,Rural,Nakuru,Moderate,Higher,1
16,Low,Traditional,Kakamega,Poor,Primary,1
14,Medium,Rural,Thika,Moderate,None,0
15,High,Rural,Kisumu,Good,Higher,0
16,Medium,Traditional,Nyeri,Poor,None,1
13,High,Urban,Wajir,Poor,Primary,0
13,High,Urban,Nairobi,Poor,None,1
17,Low,Rural,Isiolo,Moderate,Higher,1
15,Low,Traditional,Mandera,Good,Higher,0
15,High,Traditional,Nairobi,Poor,Primary,1
17,Medium,Urban,Garissa,Moderate,Primary,0
16,Low,Traditional,Mandera,Moderate,None,1
15,Low,Traditional,Narok,Poor,None,1
13,High,Rural,Meru,Moderate,Primary,0
13,Medium,Traditional,Nakuru,Good,Higher,1
14,Low,Traditional,Nyeri,Poor,Secondary,1
15,Low,Traditional,Narok,Moderate,Secondary,0
16,Medium,Urban,Thika,Moderate,Higher,0
17,Low,Urban,Thika,Poor,Higher,1
17,Medium,Rural,Machakos,Moderate,Primary,0
16,High,Urban,Mandera,Good,Secondary,0
18,Low,Urban,Mombasa,Moderate,Higher,0
14,High,Urban,Kitui,Good,Higher,0
17,Medium,Urban,Wajir,Poor,Higher,1
15,High,Rural,Nakuru,Poor,None,1
14,High,Traditional,Narok,Moderate,Higher,0
15,High,Traditional,Kiambu,Good,None,0
13,Medium,Traditional,Kakamega,Moderate,Secondary,1
14,Medium,Rural,Kiambu,Good,Higher,0
17,Medium,Urban,Nyeri,Poor,Higher,1
14,Medium,Rural,Mandera,Poor,Secondary,0
14,Medium,Rural,Wajir,Poor,Primary,1
14,Low,Rural,Kitui,Poor,Higher,1
18,Low,Traditional,Narok,Good,Higher,1
14,Low,Urban,Nairobi,Good,None,0
15,High,Traditional,Eldoret,Moderate,Secondary,1
13,High,Rural,Meru,Moderate,Higher,0
16,Medium,Rural,Eldoret,Moderate,Secondary,0
14,Medium,Traditional,Nakuru,Moderate,Secondary,0
17,Low,Traditional,Kiambu,Moderate,Higher,0
14,Medium,Traditional,Mandera,Moderate,Secondary,0
17,High,Urban,Machakos,Poor,Higher,0
15,Medium,Traditional,Mombasa,Good,None,1
17,Low,Urban,Garissa,Moderate,Primary,1
16,Medium,Urban,Garissa,Good,None,0
13,High,Traditional,Wajir,Poor,Primary,1
17,Low,Rural,Mandera,Good,Secondary,0
